	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
0	1/1/2021	95.78541667	92.3	98.2	4.357708333	2.98	5.79	0.025	0	0	0	0
1	1/2/2021	98.20851064	96.4	99	4.334893617	2.98	6.44	0.042553191	0	0	0	0
2	1/3/2021	92.2	71.4	98.7	5.172708333	1.17	11.89	0.008333333	0	0	0	0
3	1/4/2021	96.86666667	95.2	98.1	3.344375	-0.24	4.93	0.008333333	0	0	0	0
4	1/5/2021	97.1877551	92.8	98.5	3.499591837	1.55	6.78	0.069387755	0	0	0	0
5	1/6/2021	85.76666667	67.4	99.5	4.058541667	0.26	8.05	0.004166667	0	0	0	0
6	1/7/2021	90.94375	80.8	96.5	3.250416667	0.26	6.52	0.004166667	0	0	0	0
7	1/8/2021	86.43541667	73.2	94.3	3.349166667	0.45	6.84	0	0	0	0	0
8	1/9/2021	77.21666667	65.3	91.9	2.571875	-0.23	4.03	0	0	0	0	0
9	1/10/2021	85.89183673	72	94.1	2.130816327	0.47	3.17	0.07755102	0	0	0	0
10	1/11/2021	73.54042553	66.8	78.8	2.082978723	0.96	3.24	0	0	0	0	0
11	1/12/2021	71.44375	38.2	91	2.582083333	-1.36	9.11	0	0	0	0	0
12	1/13/2021	81.58125	60.5	90.9	2.09375	-1.54	8.02	0	0	0	0	0
13	1/14/2021	83.69166667	59.3	95	1.292083333	-3.65	8.87	0	0	0	0	0
14	1/15/2021	89.77708333	80.4	94.9	1.941875	-0.43	5.36	0	0	0	0	0
15	1/16/2021	79.22708333	52.8	95.3	0.993958333	-2.24	7.17	0	0	0	0	0
16	1/17/2021	87.05416667	77.1	92.2	0.482291667	-1.57	2.43	0	0	0	0	0
17	1/18/2021	88.72916667	75.8	94.7	0.443125	-3.62	5.98	0.004166667	0	0	0	0
18	1/19/2021	89.15	71.7	95.5	-0.53625	-4.97	7.76	0.004166667	0	0	0	0
19	1/20/2021	90.58958333	74.4	96	0.589791667	-4.62	7.31	0	0	0	0	0
20	1/21/2021	94.16458333	88	97.3	1.939791667	-0.06	4.53	0	0	0	0	0
21	1/22/2021	93.1875	64.7	97.7	5.276458333	1	13.15	0.045833333	0	0	0	0
22	1/23/2021	79.02857143	63.7	93.5	8.461428571	4.17	12.95	0.069387755	0	0	0	0
23	1/24/2021	84.20204082	60	95	5.075306122	0.74	9.95	0.187755102	0	0	0	0
