	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
0	1/1/2023	91.84153846	84.2	95.3	7.938923077	4.63	12.43	0.003076923	0	0	0	0
1	1/2/2023	95.45185185	93.6	96.6	7.995740741	7.15	8.9	0	0	0	0	0
2	1/3/2023	97.11774194	96.7	97.3	7.579193548	6.47	8.46	0.003225806	0	0	0	0
3	1/4/2023	95.06461538	92.3	97.3	8.943538462	7.02	11.24	0	0	0	0	0
4	1/5/2023	95.62903226	93.9	96.7	7.819516129	5.53	9.5	0	0	0	0	0
5	1/6/2023	95.69827586	92.2	97.3	7.212241379	3.85	9.52	0.006896552	0	0	0	0
6	1/7/2023	92.46031746	87.5	96.3	8.715396825	6.65	11.49	0	0	0	0	0
7	1/8/2023	82.61269841	68.7	95.9	11.23285714	5.65	15.52	0.003174603	0	0	0	0
8	1/9/2023	87.49850746	79.2	91.4	8.470895522	3.41	13.77	0.035820896	0	0	0	0
9	1/10/2023	62.04722222	36.6	91.3	7.814444444	1.56	14.76	0	0	0	0	0
10	1/11/2023	62.10895522	43.4	81.9	5.49641791	2.74	12.26	0	0	0	0	0
11	1/12/2023	74.72089552	56.2	84.9	7.080746269	2.72	12.98	0	0	0	0	0
12	1/13/2023	83.90769231	75.5	90.5	4.962615385	1.62	9.59	0	0	0	0	0
13	1/14/2023	85.34411765	69	92.4	5.375294118	0.71	12.89	0.005882353	0	0	0	0
14	1/15/2023	92.40895522	90.2	93.8	4.712238806	1.02	7.73	0.023880597	0	0	0	0
15	1/16/2023	85.59365079	67.1	94.9	7.198412698	2.65	13.09	0.047619048	0	0	0	0
16	1/17/2023	91.696875	80.3	94.1	4.9778125	3.87	6.29	0.0625	0	0	0	0
17	1/18/2023	91.17868852	84.1	93.9	5.004754098	2.83	8.19	0.239344262	0	0	0	0
18	1/19/2023	88.99242424	72	94.7	3.894545455	1.02	10.18	0.16969697	0	0	0	0
19	1/20/2023	87.35774648	79.3	91.6	2.903380282	0.6	4.67	0.14084507	0	0	0	0
20	1/21/2023	71.40289855	58.7	82	3.548550725	0.29	5.1	0	0	0	0	0
21	1/22/2023	85.94776119	79.9	89.9	4.448955224	2.71	6.16	0.182089552	0	0	0	0
22	1/23/2023	87.76666667	80.6	90.9	3.728550725	1.45	9.33	0.011594203	0	0	0	0
23	1/24/2023	85.68235294	81.7	89.6	6.106323529	1.68	9.62	0	0	0	0	0
24	1/25/2023	87.6546875	81.1	90.9	6.4115625	5.19	8.55	0	0	0	0	0
25	1/26/2023	80.51594203	75.3	88.7	4.493333333	2.87	6.17	0	0	0	0	0
26	1/27/2023	75.66984127	66.3	80.2	3.039206349	0.14	5.7	0	0	0	0	0
27	1/28/2023	80.11666667	74.3	86	2.833181818	0.28	5.84	0	0	0	0	0
28	1/29/2023	80.53846154	66.6	89.3	2.862153846	-1.36	8.03	0	0	0	0	0
29	1/30/2023	77.44492754	58.6	86.6	2.881014493	-1.04	10.3	0.002898551	0	0	0	0
30	1/31/2023	80.08955224	61.9	88.7	4.172238806	-1.34	12.22	0.002985075	0	0	0	0
31	2/1/2023	77.44615385	58.2	87.8	4.633076923	-1.58	12.92	0	0	0	0	0
32	2/2/2023	62.97605634	28.3	85.9	8.692535211	0.94	17.62	0	0	0	0	0
33	2/3/2023	71.61449275	58.1	81.1	6.427826087	0.06	13.06	0	0	0	0	0
34	2/4/2023	73.47941176	37.2	88.4	8.007794118	0.61	19.82	0	0	0	0	0
